[11:58:49] [INFO] received Windows console close event; shutting log-core down
[12:13:13] [INFO] received Windows console close event; shutting log-core down
[15:42:47] [INFO] received Windows console close event; shutting log-core down
[15:44:20] [INFO] received Windows console close event; shutting log-core down
[15:50:11] [INFO] received Windows console close event; shutting log-core down
[18:38:37] [INFO] received Windows console close event; shutting log-core down
[18:42:45] [INFO] received Windows console close event; shutting log-core down
[19:00:14] [INFO] received Windows console close event; shutting log-core down
[19:01:03] [INFO] received Windows console close event; shutting log-core down
[19:27:23] [INFO] received Windows console close event; shutting log-core down
[19:30:54] [INFO] received Windows console close event; shutting log-core down
[19:34:44] [INFO] received Windows console close event; shutting log-core down
[19:42:31] [INFO] received Windows console close event; shutting log-core down
[07:49:40] [INFO] received Windows console close event; shutting log-core down
[07:49:59] [INFO] received Windows console close event; shutting log-core down
[08:39:43] [INFO] received Windows console close event; shutting log-core down
[09:03:48] [INFO] received Windows console close event; shutting log-core down
[09:21:39] [INFO] received Windows console close event; shutting log-core down
[09:25:57] [INFO] received Windows console close event; shutting log-core down
[10:22:23] [INFO] received Windows console close event; shutting log-core down
[10:25:03] [INFO] received Windows console close event; shutting log-core down
[10:29:01] [INFO] received Windows console close event; shutting log-core down
[10:34:32] [INFO] received Windows console close event; shutting log-core down
[10:35:40] [INFO] received Windows console close event; shutting log-core down
[08:39:49] [INFO] received Windows console close event; shutting log-core down
[08:51:27] [INFO] received Windows console close event; shutting log-core down
[08:57:27] [INFO] received Windows console close event; shutting log-core down
[09:00:32] [INFO] received Windows console close event; shutting log-core down
[09:04:58] [INFO] received Windows console close event; shutting log-core down
[09:09:31] [INFO] received Windows console close event; shutting log-core down
[09:15:00] [INFO] received Windows console close event; shutting log-core down
[09:18:38] [INFO] received Windows console close event; shutting log-core down
[09:22:39] [INFO] received Windows console close event; shutting log-core down
[09:26:44] [INFO] received Windows console close event; shutting log-core down
[09:34:45] [INFO] received Windows console close event; shutting log-core down
[09:39:18] [INFO] received Windows console close event; shutting log-core down
[09:42:50] [INFO] received Windows console close event; shutting log-core down
[09:51:21] [INFO] received Windows console close event; shutting log-core down
[09:56:15] [INFO] received Windows console close event; shutting log-core down
[10:00:05] [INFO] received Windows console close event; shutting log-core down
[10:02:21] [INFO] received Windows console close event; shutting log-core down
[10:23:05] [INFO] received Windows console close event; shutting log-core down
[10:35:44] [INFO] received Windows console close event; shutting log-core down
[19:16:45] [INFO] received Windows console close event; shutting log-core down
[19:17:59] [INFO] received Windows console close event; shutting log-core down
[19:22:06] [INFO] received Windows console close event; shutting log-core down
[16:06:50] [INFO] received Windows console close event; shutting log-core down
[16:07:48] [INFO] received Windows console close event; shutting log-core down
[16:18:11] [INFO] received Windows console close event; shutting log-core down
[16:26:33] [INFO] received Windows console close event; shutting log-core down
[16:45:19] [INFO] received Windows console close event; shutting log-core down
[16:48:54] [INFO] received Windows console close event; shutting log-core down
[16:55:12] [INFO] received Windows console close event; shutting log-core down
[17:02:59] [INFO] received Windows console close event; shutting log-core down
[17:13:59] [INFO] received Windows console close event; shutting log-core down
[17:15:38] [INFO] received Windows console close event; shutting log-core down
